group,year,total,level,attainment,count
"25 Years and Over, Both Sexes",2022,226274,Elementary: 0 to 4 years,Less than High School,2203
"25 Years and Over, Both Sexes",2022,226274,Elementary: 5 to 8 years,Less than High School,5732
"25 Years and Over, Both Sexes",2022,226274,High School: 1 to 3 years,Less than High School,11998
"25 Years and Over, Both Sexes",2022,226274,High School: 4 years,High School,64465
"25 Years and Over, Both Sexes",2022,226274,College: 1 to 3 years,Some College,56659
"25 Years and Over, Both Sexes",2022,226274,College: 4 years or more,College Degree,85217
"25 Years and Over, Both Sexes",2021,224580,Elementary: 0 to 4 years,Less than High School,2074
"25 Years and Over, Both Sexes",2021,224580,Elementary: 5 to 8 years,Less than High School,5862
"25 Years and Over, Both Sexes",2021,224580,High School: 1 to 3 years,Less than High School,12118
"25 Years and Over, Both Sexes",2021,224580,High School: 4 years,High School,62547
"25 Years and Over, Both Sexes",2021,224580,College: 1 to 3 years,Some College,56942
"25 Years and Over, Both Sexes",2021,224580,College: 4 years or more,College Degree,85037
"25 Years and Over, Both Sexes",2020,223058,Elementary: 0 to 4 years,Less than High School,2106
"25 Years and Over, Both Sexes",2020,223058,Elementary: 5 to 8 years,Less than High School,5788
"25 Years and Over, Both Sexes",2020,223058,High School: 1 to 3 years,Less than High School,12313
"25 Years and Over, Both Sexes",2020,223058,High School: 4 years,High School,61597
"25 Years and Over, Both Sexes",2020,223058,College: 1 to 3 years,Some College,57552
"25 Years and Over, Both Sexes",2020,223058,College: 4 years or more,College Degree,83701
"25 Years and Over, Both Sexes",2019,221478,Elementary: 0 to 4 years,Less than High School,2181
"25 Years and Over, Both Sexes",2019,221478,Elementary: 5 to 8 years,Less than High School,6422
"25 Years and Over, Both Sexes",2019,221478,High School: 1 to 3 years,Less than High School,13372
"25 Years and Over, Both Sexes",2019,221478,High School: 4 years,High School,62259
"25 Years and Over, Both Sexes",2019,221478,College: 1 to 3 years,Some College,57428
"25 Years and Over, Both Sexes",2019,221478,College: 4 years or more,College Degree,79816
"25 Years and Over, Both Sexes",2018,219830,Elementary: 0 to 4 years,Less than High School,2129
"25 Years and Over, Both Sexes",2018,219830,Elementary: 5 to 8 years,Less than High School,6600
"25 Years and Over, Both Sexes",2018,219830,High School: 1 to 3 years,Less than High School,13682
"25 Years and Over, Both Sexes",2018,219830,High School: 4 years,High School,62685
"25 Years and Over, Both Sexes",2018,219830,College: 1 to 3 years,Some College,57810
"25 Years and Over, Both Sexes",2018,219830,College: 4 years or more,College Degree,76924
"25 Years and Over, Both Sexes",2017,216921,Elementary: 0 to 4 years,Less than High School,2208
"25 Years and Over, Both Sexes",2017,216921,Elementary: 5 to 8 years,Less than High School,6600
"25 Years and Over, Both Sexes",2017,216921,High School: 1 to 3 years,Less than High School,13734
"25 Years and Over, Both Sexes",2017,216921,High School: 4 years,High School,62512
"25 Years and Over, Both Sexes",2017,216921,College: 1 to 3 years,Some College,57765
"25 Years and Over, Both Sexes",2017,216921,College: 4 years or more,College Degree,74103
"25 Years and Over, Both Sexes",2016,215015,Elementary: 0 to 4 years,Less than High School,2414
"25 Years and Over, Both Sexes",2016,215015,Elementary: 5 to 8 years,Less than High School,7078
"25 Years and Over, Both Sexes",2016,215015,High School: 1 to 3 years,Less than High School,13961
"25 Years and Over, Both Sexes",2016,215015,High School: 4 years,High School,62002
"25 Years and Over, Both Sexes",2016,215015,College: 1 to 3 years,Some College,57660
"25 Years and Over, Both Sexes",2016,215015,College: 4 years or more,College Degree,71900
"25 Years and Over, Both Sexes",2015,212132,Elementary: 0 to 4 years,Less than High School,2601
"25 Years and Over, Both Sexes",2015,212132,Elementary: 5 to 8 years,Less than High School,7295
"25 Years and Over, Both Sexes",2015,212132,High School: 1 to 3 years,Less than High School,14686
"25 Years and Over, Both Sexes",2015,212132,High School: 4 years,High School,62575
"25 Years and Over, Both Sexes",2015,212132,College: 1 to 3 years,Some College,56031
"25 Years and Over, Both Sexes",2015,212132,College: 4 years or more,College Degree,68945
"25 Years and Over, Both Sexes",2014,209287,Elementary: 0 to 4 years,Less than High School,2525
"25 Years and Over, Both Sexes",2014,209287,Elementary: 5 to 8 years,Less than High School,7388
"25 Years and Over, Both Sexes",2014,209287,High School: 1 to 3 years,Less than High School,14545
"25 Years and Over, Both Sexes",2014,209287,High School: 4 years,High School,62240
"25 Years and Over, Both Sexes",2014,209287,College: 1 to 3 years,Some College,55709
"25 Years and Over, Both Sexes",2014,209287,College: 4 years or more,College Degree,66879
"25 Years and Over, Both Sexes",2013,206899,Elementary: 0 to 4 years,Less than High School,2344
"25 Years and Over, Both Sexes",2013,206899,Elementary: 5 to 8 years,Less than High School,7578
"25 Years and Over, Both Sexes",2013,206899,High School: 1 to 3 years,Less than High School,14595
"25 Years and Over, Both Sexes",2013,206899,High School: 4 years,High School,61704
"25 Years and Over, Both Sexes",2013,206899,College: 1 to 3 years,Some College,55173
"25 Years and Over, Both Sexes",2013,206899,College: 4 years or more,College Degree,65506
"25 Years and Over, Both Sexes",2012,204579,Elementary: 0 to 4 years,Less than High School,2484
"25 Years and Over, Both Sexes",2012,204579,Elementary: 5 to 8 years,Less than High School,7800
"25 Years and Over, Both Sexes",2012,204579,High School: 1 to 3 years,Less than High School,14993
"25 Years and Over, Both Sexes",2012,204579,High School: 4 years,High School,62113
"25 Years and Over, Both Sexes",2012,204579,College: 1 to 3 years,Some College,53900
"25 Years and Over, Both Sexes",2012,204579,College: 4 years or more,College Degree,63291
"25 Years and Over, Both Sexes",2011,201543,Elementary: 0 to 4 years,Less than High School,2589
"25 Years and Over, Both Sexes",2011,201543,Elementary: 5 to 8 years,Less than High School,7688
"25 Years and Over, Both Sexes",2011,201543,High School: 1 to 3 years,Less than High School,14763
"25 Years and Over, Both Sexes",2011,201543,High School: 4 years,High School,61911
"25 Years and Over, Both Sexes",2011,201543,College: 1 to 3 years,Some College,53249
"25 Years and Over, Both Sexes",2011,201543,College: 4 years or more,College Degree,61343
"25 Years and Over, Both Sexes",2010,199928,Elementary: 0 to 4 years,Less than High School,2615
"25 Years and Over, Both Sexes",2010,199928,Elementary: 5 to 8 years,Less than High School,7836
"25 Years and Over, Both Sexes",2010,199928,High School: 1 to 3 years,Less than High School,15260
"25 Years and Over, Both Sexes",2010,199928,High School: 4 years,High School,62456
"25 Years and Over, Both Sexes",2010,199928,College: 1 to 3 years,Some College,51920
"25 Years and Over, Both Sexes",2010,199928,College: 4 years or more,College Degree,59840
"25 Years and Over, Both Sexes",2009,198285,Elementary: 0 to 4 years,Less than High School,2785
"25 Years and Over, Both Sexes",2009,198285,Elementary: 5 to 8 years,Less than High School,8043
"25 Years and Over, Both Sexes",2009,198285,High School: 1 to 3 years,Less than High School,15587
"25 Years and Over, Both Sexes",2009,198285,High School: 4 years,High School,61626
"25 Years and Over, Both Sexes",2009,198285,College: 1 to 3 years,Some College,51670
"25 Years and Over, Both Sexes",2009,198285,College: 4 years or more,College Degree,58574
"25 Years and Over, Both Sexes",2008,196305,Elementary: 0 to 4 years,Less than High School,2599
"25 Years and Over, Both Sexes",2008,196305,Elementary: 5 to 8 years,Less than High School,8226
"25 Years and Over, Both Sexes",2008,196305,High School: 1 to 3 years,Less than High School,15516
"25 Years and Over, Both Sexes",2008,196305,High School: 4 years,High School,61183
"25 Years and Over, Both Sexes",2008,196305,College: 1 to 3 years,Some College,50994
"25 Years and Over, Both Sexes",2008,196305,College: 4 years or more,College Degree,57787
"25 Years and Over, Both Sexes",2007,194318,Elementary: 0 to 4 years,Less than High School,2830
"25 Years and Over, Both Sexes",2007,194318,Elementary: 5 to 8 years,Less than High School,8462
"25 Years and Over, Both Sexes",2007,194318,High School: 1 to 3 years,Less than High School,16451
"25 Years and Over, Both Sexes",2007,194318,High School: 4 years,High School,61490
"25 Years and Over, Both Sexes",2007,194318,College: 1 to 3 years,Some College,49243
"25 Years and Over, Both Sexes",2007,194318,College: 4 years or more,College Degree,55842
"25 Years and Over, Both Sexes",2006,191884,Elementary: 0 to 4 years,Less than High School,2951
"25 Years and Over, Both Sexes",2006,191884,Elementary: 5 to 8 years,Less than High School,8791
"25 Years and Over, Both Sexes",2006,191884,High School: 1 to 3 years,Less than High School,16154
"25 Years and Over, Both Sexes",2006,191884,High School: 4 years,High School,60898
"25 Years and Over, Both Sexes",2006,191884,College: 1 to 3 years,Some College,49371
"25 Years and Over, Both Sexes",2006,191884,College: 4 years or more,College Degree,53720
"25 Years and Over, Both Sexes",2005,189367,Elementary: 0 to 4 years,Less than High School,2983
"25 Years and Over, Both Sexes",2005,189367,Elementary: 5 to 8 years,Less than High School,8935
"25 Years and Over, Both Sexes",2005,189367,High School: 1 to 3 years,Less than High School,16099
"25 Years and Over, Both Sexes",2005,189367,High School: 4 years,High School,60893
"25 Years and Over, Both Sexes",2005,189367,College: 1 to 3 years,Some College,48076
"25 Years and Over, Both Sexes",2005,189367,College: 4 years or more,College Degree,52381
"25 Years and Over, Both Sexes",2004,186876,Elementary: 0 to 4 years,Less than High School,2858
"25 Years and Over, Both Sexes",2004,186876,Elementary: 5 to 8 years,Less than High School,8888
"25 Years and Over, Both Sexes",2004,186876,High School: 1 to 3 years,Less than High School,15999
"25 Years and Over, Both Sexes",2004,186876,High School: 4 years,High School,59811
"25 Years and Over, Both Sexes",2004,186876,College: 1 to 3 years,Some College,47571
"25 Years and Over, Both Sexes",2004,186876,College: 4 years or more,College Degree,51749
"25 Years and Over, Both Sexes",2003,185183,Elementary: 0 to 4 years,Less than High School,2915
"25 Years and Over, Both Sexes",2003,185183,Elementary: 5 to 8 years,Less than High School,9361
"25 Years and Over, Both Sexes",2003,185183,High School: 1 to 3 years,Less than High School,16323
"25 Years and Over, Both Sexes",2003,185183,High School: 4 years,High School,59292
"25 Years and Over, Both Sexes",2003,185183,College: 1 to 3 years,Some College,46910
