month,day,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
January,1,1,2,0,2,1,1,3,2,0,1
,2,1,0,0,1,0,0,1,0,0,0
,3,0,0,0,1,2,0,0,2,1,1
,4,0,0,1,4,1,1,2,1,0,1
,5,0,2,1,0,0,0,3,0,0,2
,6,1,0,0,4,0,1,0,0,1,1
,7,3,0,0,2,1,0,2,0,1,1
,8,1,2,0,0,1,1,2,0,0,2
,9,4,0,0,0,1,0,3,0,1,2
,10,1,0,0,1,2,2,0,0,0,1
,11,0,2,0,0,2,1,0,3,0,1
,12,0,0,0,0,2,0,0,0,0,0
,13,0,0,0,1,0,2,1,1,1,0
,14,0,1,1,0,0,0,2,2,2,0
,15,1,0,1,1,0,1,1,0,0,0
,16,2,2,0,0,1,2,1,4,2,0
,17,1,0,0,1,1,0,0,1,0,0
,18,0,2,2,0,1,0,1,0,2,0
,19,1,0,2,1,0,1,0,1,1,0
,20,0,4,4,0,0,0,1,0,2,2
,21,3,2,0,0,1,0,2,0,0,0
,22,4,0,2,3,2,3,1,2,0,1
,23,0,1,2,1,2,0,1,0,1,1
,24,0,0,0,1,2,8,4,0,4,0
,25,0,0,2,0,1,0,0,2,0,0
,26,2,0,0,1,0,0,0,0,2,1
,27,0,1,2,0,1,0,0,1,1,1
,28,1,2,1,5,1,0,1,3,1,0
,29,0,0,2,0,1,1,5,1,3,0
,30,2,2,0,1,0,1,4,0,0,0
,,,,,,,,,,,
,31,0,2,0,2,0,0,2,0,1,2
,Total,29,27,23,33,27,26,43,26,27,21
February,1,2,0,0,1,1,0,0,2,3,0
,2,2,0,0,2,0,0,0,0,1,0
,3,0,0,0,0,1,2,0,0,0,1
,4,1,0,3,2,3,2,1,0,1,0
,5,0,3,1,1,0,2,0,0,0,1
,6,2,0,1,0,1,0,0,1,0,0
,7,1,1,0,0,1,1,0,1,0,0
,8,2,0,1,1,2,1,1,1,2,2
,9,1,5,8,1,0,1,0,0,2,0
,10,3,0,2,2,2,1,1,2,1,2
,11,0,1,4,0,1,1,2,0,1,0
,12,1,0,0,2,0,1,1,0,0,1
,13,1,1,0,0,1,0,1,1,1,1
,14,1,0,1,1,2,2,0,0,1,0
,15,1,1,1,0,1,0,0,0,1,1
,16,0,1,1,0,0,1,1,1,2,2
,17,1,2,0,2,0,1,0,1,2,3
,18,0,0,2,4,1,0,1,1,1,1
,19,3,0,1,1,0,2,0,0,2,1
,20,1,2,0,0,1,1,2,2,1,0
